,Coin,Pings,Net Vol BTC,Net Vol %,Recent Total Vol BTC,Recent Vol %,Recent Net Vol,Datetime,id
0,TRX,17,43.99019761,15.9%,1.6164283000000002,0.3%,1.3400389,00:02:17 05/19/20,1397
1,ADA,62,83.38598966,28.8%,2.88540611,0.3%,2.62314567,00:02:35 05/19/20,1397
2,ALGO,8,9.344518199999998,7.1%,1.45053584,0.7%,1.44431384,00:02:51 05/19/20,1397
3,XMR,26,45.83679431,14.8%,2.62026209,0.4%,2.42917703,00:03:31 05/19/20,1398
4,LINK,22,60.33818021,4.3%,8.21186407,0.4%,7.99463557,00:03:52 05/19/20,1398
5,ALGO,9,10.36404589,7.7%,1.27239631,0.6%,1.01952769,00:03:55 05/19/20,1398
6,OGN,25,12.49615989,6.5%,1.71930693,0.5%,0.06370739,00:05:26 05/19/20,1400
7,RLC,5,3.72659336,4.3%,0.97350689,1.4%,0.97172687,00:07:40 05/19/20,1402
8,WABI,2,2.08319601,5.3%,1.04625089,2.3%,0.92010699,00:07:43 05/19/20,1402
9,WRX,16,17.17411134,25.7%,1.99744448,1.2%,0.28632032,00:15:27 05/19/20,1410
10,ENJ,8,18.68329496,6.3%,1.95899602,0.4%,1.37208546,00:17:29 05/19/20,1412
11,HIVE,5,2.23933942,1.6%,1.15806694,0.5%,0.82938292,00:17:37 05/19/20,1412
12,ENJ,9,19.800374,6.6%,1.65039958,0.3%,1.11707904,00:18:30 05/19/20,1413
13,ADX,2,1.76822871,23.2%,1.00434033,7.3%,0.91546583,00:22:40 05/19/20,1417
14,POWR,3,3.13929189,6.3%,1.15834749,1.8%,0.99130543,00:23:19 05/19/20,1418
15,XTZ,21,32.74851768,4.3%,3.83850793,0.3%,0.87615677,00:23:31 05/19/20,1418
16,EOS,26,27.85891428,7.6%,9.81066231,0.7%,-2.05705681,00:23:44 05/19/20,1418
17,ENJ,10,20.96322282,6.9%,1.90295204,0.4%,1.16284882,00:27:28 05/19/20,1422
18,TNT,8,8.33758737,5.4%,0.84082758,0.3%,0.6208130000000001,00:27:30 05/19/20,1422
19,TOMO,1,2.13868302,2.4%,2.14571928,2.4%,2.13868302,00:28:36 05/19/20,1423
20,TOMO,3,4.16518592,4.7%,1.16643658,1.3%,1.16619676,00:30:36 05/19/20,1425
21,HOT,2,1.55902944,15.0%,0.71505624,5.0%,0.71505624,00:32:50 05/19/20,1427
22,QSP,1,1.59760276,6.0%,1.8184671,6.0%,1.59760276,00:40:45 05/19/20,1435
23,ENJ,11,22.66699351,7.4%,2.34024871,0.4%,1.70377069,00:42:32 05/19/20,1437
24,SC,3,2.98621279,21.5%,1.38798555,6.8%,1.38798555,00:44:17 05/19/20,1439
25,HC,1,0.67710434,23.0%,5.72590033,42.5%,-3.23487155,00:44:26 05/19/20,1439
26,BCH,47,124.24986632,23.4%,6.81640254,0.4%,1.5669343,00:45:51 05/19/20,1440
27,DASH,11,11.33137306,7.0%,3.69521029,1.2%,0.19116675,00:49:34 05/19/20,1444
