,Coin,Pings,Net Vol BTC,Net Vol %,Recent Total Vol BTC,Recent Vol %,Recent Net Vol,Datetime,id
0,LINK,9,33.22927728,1.5%,16.66010782,0.1%,11.309133000000001,00:05:28 09/08/20,1212
1,FTM,9,19.85254205,5.7%,4.00982286,0.4%,3.89138846,00:07:49 09/08/20,1214
2,SNM,9,10.81198882,15.3%,1.41430302,1.1%,1.41430302,00:12:23 09/08/20,1219
3,IOST,46,190.19390523,40.9%,6.8550146,0.8%,6.85479572,00:12:29 09/08/20,1219
4,IOTX,10,14.79102847,27.4%,0.96197647,0.8%,0.95285587,00:17:38 09/08/20,1224
5,FTM,9,18.27783284,5.2%,5.32141687,0.5%,-1.57470921,00:20:50 09/08/20,1227
6,ARPA,1,2.6963747,0.7%,2.1293485,0.3%,-0.02517554,00:22:17 09/08/20,1229
7,SNT,3,-0.66295817,-10.1%,6.25203038,7.2%,-0.53129516,00:22:53 09/08/20,1229
8,RVN,10,9.23043981,1.2%,2.01743603,1.0%,0.96395079,00:24:48 09/08/20,1231
9,BAL,15,11.65529632,8.5%,1.04054025,0.5%,0.81999199,00:25:43 09/08/20,1232
10,RVN,11,10.25707475,2.6%,2.62017856,1.3%,1.02663494,00:25:47 09/08/20,1232
11,RVN,12,10.69946987,3.3%,1.35726732,0.7%,0.44239512,00:27:49 09/08/20,1234
12,FTM,10,9.0806927,4.2%,8.54506561,0.8%,-6.48205569,00:29:51 09/08/20,1236
13,RVN,13,12.38102435,4.1%,1.68573228,0.8%,1.68155448,00:35:47 09/08/20,1242
14,YFI,5,15.49015941,0.1%,9.601315800000002,0.3%,-6.91011366,00:37:34 09/08/20,1244
15,QTUM,19,19.68947517,6.3%,2.17166116,0.3%,1.77760924,00:44:33 09/08/20,1251
16,RVN,17,17.62726962,7.2%,1.48661534,0.7%,0.32913086,00:45:46 09/08/20,1252
17,STPT,8,5.59994499,2.2%,1.26417998,0.8%,0.45212892,00:49:17 09/08/20,1256
18,BAL,17,13.05582404,9.3%,0.86376521,0.4%,0.63698379,00:49:41 09/08/20,1256
19,STPT,9,7.01694419,3.5%,2.11060482,1.3%,1.4169992,00:50:18 09/08/20,1257
20,FTT,16,24.60463781,24.9%,0.99269029,0.4%,0.99269029,00:52:42 09/08/20,1259
21,SAND,5,2.83971373,2.4%,0.90143271,0.4%,0.87852843,00:57:29 09/08/20,1264
22,TNB,2,2.14599537,21.3%,1.76670837,12.6%,1.03678617,00:57:30 09/08/20,1264
23,ETH,66,957.3251677000001,5.9%,12.67450388,0.0%,12.41455178,01:02:36 09/08/20,1269
24,XRP,7,24.72569562,2.4%,12.45591203,0.5%,12.36700875,01:04:21 09/08/20,1271
25,IRIS,1,1.08184809,0.7%,1.17682687,0.7%,1.08184809,01:11:20 09/08/20,1278
26,STPT,11,9.77658637,5.3%,1.95732517,1.2%,1.94257977,01:14:18 09/08/20,1281
27,CHZ,2,2.26416585,-2.7%,1.47214627,1.0%,1.46481367,01:17:16 09/08/20,1284
28,ENG,20,13.75951811,12.0%,1.28562848,0.5%,1.17544778,01:21:38 09/08/20,1288
29,SNM,10,14.96193929,18.4%,4.15876437,3.2%,4.14995047,01:24:23 09/08/20,1291
30,OMG,11,37.22476323,5.5%,5.4114736,0.4%,4.24490378,01:26:31 09/08/20,1293
31,STEEM,1,0.82958961,0.1%,2.52289916,1.1%,-0.0462383,01:27:00 09/08/20,1293
32,STEEM,1,0.78335131,-1.0%,2.52289916,1.1%,-0.0462383,01:28:00 09/08/20,1294
33,RUNE,14,17.79015274,13.4%,0.90479419,0.3%,0.77227235,01:31:36 09/08/20,1298
34,WBTC,9,49.45423458,19.9%,2.01533544,0.6%,2.01533544,01:31:40 09/08/20,1298
35,RUNE,15,18.77002097,13.8%,0.99313365,0.4%,0.97986823,01:32:37 09/08/20,1299
36,OMG,12,40.66489,6.0%,6.54038437,0.5%,3.44012677,01:37:30 09/08/20,1304
37,LRC,10,7.14253103,3.1%,2.14029907,0.5%,0.25637449,01:52:31 09/08/20,1319
38,WBTC,10,50.8684856,20.3%,1.41425102,0.4%,1.41425102,02:18:39 09/08/20,1345
