,Coin,Pings,Net Vol BTC,Net Vol %,Recent Total Vol BTC,Recent Vol %,Recent Net Vol,Datetime,id
0,OGN,15,14.77343013,6.0%,1.94884495,0.8%,-0.13715921,00:05:46 09/09/20,1182
1,SAND,73,56.98309385,23.2%,3.86250432,0.4%,-1.72876374,00:06:01 09/09/20,1182
2,LOOM,3,1.6292618,1.8%,1.70257124,1.7%,-0.17805724,00:08:43 09/09/20,1185
3,DOCK,19,15.32357785,13.1%,1.74449977,0.6%,0.77210305,00:10:38 09/09/20,1187
4,XMR,34,109.69426855,12.5%,6.04699689,0.4%,-3.29708861,00:12:35 09/09/20,1189
5,BNB,11,90.25386748,1.0%,17.26844773,0.2%,10.98862923,00:15:35 09/09/20,1192
6,ZIL,37,64.60126417,33.2%,2.49030047,0.6%,2.20825937,00:17:40 09/09/20,1194
7,XMR,35,116.0863363,12.9%,6.59988355,0.4%,6.39206775,00:20:33 09/09/20,1197
8,ETH,46,727.46140759,5.7%,31.29773086,0.1%,16.49067284,00:22:22 09/09/20,1199
9,DOCK,20,16.52492309,13.6%,1.39944884,0.5%,1.20134524,00:22:38 09/09/20,1199
10,ETH,47,743.71950362,5.7%,17.97629061,0.1%,16.25809603,00:24:21 09/09/20,1201
11,DOCK,21,17.3978448,14.1%,1.32144243,0.5%,0.87292171,00:24:37 09/09/20,1201
12,ONT,28,44.92138995,18.4%,5.50900049,0.9%,0.82802221,00:24:53 09/09/20,1201
13,ETH,48,756.60263634,5.8%,18.85567464,0.1%,12.88313272,00:25:22 09/09/20,1202
14,XMR,36,121.10038931,13.3%,5.98110269,0.4%,5.01405301,00:25:34 09/09/20,1202
15,CTSI,10,9.24443946,11.7%,1.3668014,0.9%,1.3668014,00:27:22 09/09/20,1204
16,BAL,9,6.10476685,2.8%,0.88882134,0.4%,0.88489382,00:27:25 09/09/20,1204
17,DOCK,22,17.45533237,14.7%,1.70776377,0.6%,0.05748757,00:27:36 09/09/20,1204
18,QTUM,20,14.11666308,6.0%,5.20310125,0.8%,-2.38314023,00:29:25 09/09/20,1206
19,CTSI,11,10.68374663,12.8%,1.70173689,1.1%,1.43930717,00:35:24 09/09/20,1212
20,CRV,3,4.02600818,-0.4%,3.30149259,0.3%,3.29895911,00:37:47 09/09/20,1214
21,CRV,3,2.89281797,-1.6%,3.454161,0.3%,-0.35922848,00:40:48 09/09/20,1217
22,EVX,1,0.72711775,3.0%,0.91074987,3.0%,0.72711775,00:44:26 09/09/20,1221
23,CRV,4,4.91786274,-1.0%,5.42455239,0.5%,2.02504477,00:44:46 09/09/20,1221
24,ONT,29,45.63016903,19.0%,4.04042912,0.6%,0.70877908,00:45:53 09/09/20,1222
25,WBTC,18,86.93495804,33.4%,8.14003679,2.4%,-0.14118613,00:47:42 09/09/20,1224
26,XMR,36,117.80485882,13.0%,5.53244755,0.3%,-3.29553049,00:49:34 09/09/20,1226
27,XMR,36,116.94807391,12.7%,4.85759123,0.3%,-0.85678491,00:50:33 09/09/20,1227
28,ALGO,20,43.17255921,13.0%,2.00816514,0.3%,0.26479456,00:52:51 09/09/20,1229
29,SRM,9,7.73498604,-1.1%,5.44143535,0.5%,5.43930665,01:04:30 09/09/20,1241
30,ONT,30,46.19275315,19.4%,4.49620517,0.7%,0.94342197,01:04:51 09/09/20,1241
31,LTC,14,12.11096482,0.7%,4.62370118,0.3%,1.99884274,01:05:40 09/09/20,1242
32,OGN,16,14.9015646,6.8%,1.93991827,0.7%,0.12813447,01:11:44 09/09/20,1248
33,SKY,1,0.71806126,5.6%,0.72014278,5.6%,0.71806126,01:12:19 09/09/20,1249
34,OGN,17,16.03726126,7.2%,1.2964943000000002,0.5%,1.13569666,01:12:45 09/09/20,1249
35,ETH,50,791.76512244,6.0%,13.55723658,0.0%,10.10081862,01:14:23 09/09/20,1251
36,OGN,19,17.35722356,8.4%,1.62370036,0.6%,0.05351128,01:17:44 09/09/20,1254
37,ETH,51,806.03678478,6.1%,14.52188372,0.1%,14.27166234,01:19:21 09/09/20,1256
38,BNB,14,130.93858387,1.7%,25.65436548,0.3%,15.87570742,01:27:35 09/09/20,1264
39,LOOM,4,2.9514639,3.1%,1.3472661,1.3%,1.3222021000000002,01:34:45 09/09/20,1271
40,LSK,2,0.33684081,-2.3%,2.94549364,2.0%,-0.98377538,01:39:52 09/09/20,1276
41,TROY,24,44.99112065,49.9%,1.28805682,0.7%,1.25105682,01:42:44 09/09/20,1279
42,TROY,25,45.76698869,50.3%,0.77586804,0.4%,0.77586804,01:44:44 09/09/20,1281
43,BZRX,10,10.40742252,4.9%,3.32277324,0.6%,0.5415,01:47:31 09/09/20,1284
44,MATIC,17,19.69013444,13.8%,0.8393868,0.3%,0.8393868,01:47:36 09/09/20,1284
45,ALGO,22,43.37451302,13.8%,2.19357329,0.4%,0.06827677,01:47:51 09/09/20,1284
46,DIA,4,3.7224418,2.4%,1.54025625,0.5%,0.45157065,01:50:02 09/09/20,1286
47,NEO,8,12.50744101,2.0%,3.75034452,0.4%,1.9460133000000002,01:56:45 09/09/20,1293
48,LINK,3,-51.59021227,-1.8%,41.54436953,0.4%,22.17506953,01:56:58 09/09/20,1293
49,NEO,9,15.34897718,2.4%,4.11820849,0.4%,2.84153617,01:57:47 09/09/20,1294
50,ONG,10,4.50158349,-10.6%,2.05059744,1.6%,1.1157055,02:01:46 09/09/20,1298
51,ONT,31,50.55379144,20.4%,7.04097245,1.0%,4.36103829,02:01:53 09/09/20,1298
52,ONG,11,4.80057565,-6.9%,4.85654498,3.7%,0.29899216,02:02:49 09/09/20,1299
53,ONT,32,51.06569733,20.9%,2.90184939,0.4%,0.51190589,02:02:55 09/09/20,1299
54,XTZ,25,15.41857024,7.8%,9.36908551,0.6%,-5.41773035,02:18:29 09/09/20,1315
55,LTC,15,16.89336821,1.3%,7.74938607,0.5%,4.78240339,02:19:41 09/09/20,1316
56,IRIS,4,1.58011369,-0.9%,1.85867493,1.8%,0.44373463,02:31:19 09/09/20,1328
57,COS,3,6.59307584,15.1%,1.255965,2.2%,1.255965,02:36:50 09/09/20,1333
58,ONG,12,5.87202002,-6.1%,1.17727031,0.8%,1.07144437,02:38:46 09/09/20,1335
59,RSR,12,9.09646215,10.6%,1.45954381,0.5%,0.39322441,02:44:28 09/09/20,1341
60,XTZ,25,13.89634848,7.3%,7.2804926,0.5%,-1.52222176,02:46:28 09/09/20,1343
61,ONG,13,7.53904691,-4.7%,2.14422135,1.4%,1.66702689,02:48:46 09/09/20,1345
62,ONG,14,7.84351042,-3.9%,1.27544213,0.8%,0.30446351,02:49:47 09/09/20,1346
63,BAND,6,-9.21166165,-2.3%,12.97046943,0.9%,-9.88521183,02:53:43 09/09/20,1350
64,ONT,35,55.38228808,22.4%,4.15770143,0.6%,0.10811523,02:53:51 09/09/20,1350
65,BAND,6,-17.78574734,-3.4%,15.73430641,1.1%,-8.57408569,02:54:43 09/09/20,1351
66,ONT,36,55.77341144,22.9%,3.49852914,0.5%,0.39112336,02:54:51 09/09/20,1351
67,DOT,5,-19.62040743,-0.1%,19.031916100000004,0.6%,-12.65473526,02:55:01 09/09/20,1351
68,SUSHI,0,-12.38842531,-0.7%,20.52266633,0.3%,-0.15980397,02:59:04 09/09/20,1355
69,BTS,3,-8.21384119,-0.4%,5.58146907,0.5%,-3.38997671,03:01:38 09/09/20,1358
70,VET,31,105.94217471,14.0%,4.94202436,0.4%,4.93028692,03:01:43 09/09/20,1358
71,ONT,36,53.63419545,22.2%,5.10483221,0.7%,-2.13921599,03:01:52 09/09/20,1358
72,ETH,52,779.51392682,5.7%,124.32891036,0.4%,-37.18822894,03:08:22 09/09/20,1365
73,LOOM,4,2.57023936,1.1%,2.2363568,2.0%,-0.38122454,03:13:44 09/09/20,1370
74,TRB,7,12.14169847,2.1%,2.69213654,0.4%,1.99590972,03:15:30 09/09/20,1372
75,LOOM,5,3.65342217,2.3%,1.38022411,1.2%,1.08318281,03:16:43 09/09/20,1373
76,SOL,9,9.96097424,3.0%,2.88898508,0.4%,1.12457794,03:23:48 09/09/20,1380
77,YFII,4,-3.99862606,0.3%,11.33523947,0.6%,-2.36409473,03:28:29 09/09/20,1385
78,YFII,4,-9.40178977,-0.1%,7.13920015,0.4%,-5.40316371,03:33:29 09/09/20,1390
79,MBL,2,1.41842722,34.3%,0.7102764,15.0%,0.7102764,03:33:39 09/09/20,1390
80,LTC,16,17.91228493,1.7%,6.14532726,0.4%,1.01891672,03:33:42 09/09/20,1390
81,YFII,5,-14.96179773,-0.2%,6.19375613,0.3%,0.22793063,03:38:29 09/09/20,1395
82,OMG,12,28.19033671,3.0%,6.00005635,0.5%,-0.15474185,03:41:54 09/09/20,1398
83,TROY,27,49.36820487,52.2%,1.14993396,0.6%,1.14993396,03:53:44 09/09/20,1410
84,RVN,6,8.808731199999997,7.7%,1.49358994,0.7%,0.5225833,03:57:40 09/09/20,1414
85,ONG,15,8.76980651,-3.3%,0.93035775,0.6%,0.92629609,04:00:47 09/09/20,1417
86,ETH,1,10.2359965,0.1%,12.529154199999999,0.1%,10.2359965,04:23:47 09/09/20,2
87,BTS,1,0.49665259,0.5%,1.59045373,0.5%,0.49665259,04:27:54 09/09/20,6
88,FTT,2,1.97861329,0.8%,0.74331396,0.3%,0.73237096,04:28:27 09/09/20,7
89,BAND,0,-0.46797544,-0.4%,1.90744912,0.4%,-0.46797544,04:30:23 09/09/20,9
90,LRC,1,0.94876165,2.3%,2.15370491,2.3%,0.94876165,04:30:59 09/09/20,9
91,KAVA,1,0.80469382,0.4%,0.80469382,0.4%,0.80469382,04:35:27 09/09/20,14
92,ZRX,1,0.83212525,1.0%,1.23015791,1.0%,0.83212525,04:35:29 09/09/20,14
93,STORJ,1,1.16520267,1.5%,1.20703589,1.5%,1.16520267,04:35:36 09/09/20,14
94,BCH,1,1.76368929,0.3%,2.34573633,0.3%,1.76368929,04:35:39 09/09/20,14
95,ZIL,1,1.66321729,0.5%,1.66321729,0.5%,1.66321729,04:35:57 09/09/20,14
